profile_id,hanja
OHE-00001,加
OHE-00002,可
OHE-00003,佳
OHE-00004,架
OHE-00005,家
OHE-00006,街
OHE-00007,賈
OHE-00008,暇
OHE-00009,嫁
OHE-00010,歌
OHE-00011,嘉
OHE-00012,價
OHE-00013,稼
OHE-00014,各
OHE-00015,却
OHE-00016,角
OHE-00017,刻
OHE-00018,恪
OHE-00019,珏
OHE-00020,殼
OHE-00021,閣
OHE-00022,覺
OHE-00023,干
OHE-00024,刊
OHE-00025,艮
OHE-00026,杆
OHE-00027,侃
OHE-00028,看
OHE-00029,竿
OHE-00030,間
OHE-00031,揀
OHE-00032,幹
OHE-00033,墾
OHE-00034,諫
OHE-00035,懇
OHE-00036,簡
OHE-00037,渴
OHE-00038,葛
OHE-00039,甘
OHE-00040,勘
OHE-00041,敢
OHE-00042,堪
OHE-00043,感
OHE-00044,減
OHE-00045,監
OHE-00046,瞰
OHE-00047,鑑
OHE-00048,甲
OHE-00049,鉀
OHE-00050,江
OHE-00051,岡
OHE-00052,姜
OHE-00053,剛
OHE-00054,強
OHE-00055,崗
OHE-00056,堈
OHE-00057,康
OHE-00058,降
OHE-00059,綱
OHE-00060,鋼
OHE-00061,彊
OHE-00062,講
OHE-00063,介
OHE-00064,价
OHE-00065,改
OHE-00066,個
OHE-00067,凱
OHE-00068,開
OHE-00069,槪
OHE-00070,漑
OHE-00071,盖
OHE-00072,客
OHE-00073,更
OHE-00074,去
OHE-00075,巨
OHE-00076,車
OHE-00077,居
OHE-00078,拒
OHE-00079,距
OHE-00080,渠
OHE-00081,據
OHE-00082,擧
OHE-00083,巾
OHE-00084,件
OHE-00085,建
OHE-00086,虔
OHE-00087,健
OHE-00088,乾
OHE-00089,楗
OHE-00090,鍵
OHE-00091,杰
OHE-00092,傑
OHE-00093,儉
OHE-00094,劍
OHE-00095,檢
OHE-00096,揭
OHE-00097,憩
OHE-00098,格
OHE-00099,檄
OHE-00100,激
OHE-00101,見
OHE-00102,堅
OHE-00103,牽
OHE-00104,絹
OHE-00105,遣
OHE-00106,決
OHE-00107,結
OHE-00108,潔
OHE-00109,兼
OHE-00110,謙
OHE-00111,更
OHE-00112,坰
OHE-00113,炅
OHE-00114,京
OHE-00115,庚
OHE-00116,俓
OHE-00117,勁
OHE-00118,倞
OHE-00119,耕
OHE-00120,耿
OHE-00121,徑
OHE-00122,梗
OHE-00123,竟
OHE-00124,涇
OHE-00125,硬
OHE-00126,卿
OHE-00127,景
OHE-00128,敬
OHE-00129,經
OHE-00130,莖
OHE-00131,輕
OHE-00132,逕
OHE-00133,境
OHE-00134,慶
OHE-00135,憬
OHE-00136,暻
OHE-00137,擎
OHE-00138,暻
OHE-00139,鏡
OHE-00140,鯨
OHE-00141,競
OHE-00142,警
OHE-00143,瓊
OHE-00144,戒
OHE-00145,系
OHE-00146,季
OHE-00147,係
OHE-00148,契
OHE-00149,計
OHE-00150,癸
OHE-00151,界
OHE-00152,桂
OHE-00153,啓
OHE-00154,誡
OHE-00155,溪
OHE-00156,階
OHE-00157,繼
OHE-00158,鷄
OHE-00159,叩
OHE-00160,古
OHE-00161,告
OHE-00162,固
OHE-00163,考
OHE-00164,姑
OHE-00165,枯
OHE-00166,庫
OHE-00167,高
OHE-00168,皐
OHE-00169,鼓
OHE-00170,敲
OHE-00171,稿
OHE-00172,顧
OHE-00173,曲
OHE-00174,谷
OHE-00175,穀
OHE-00176,坤
OHE-00177,昆
OHE-00178,崑
OHE-00179,琨
OHE-00180,骨
OHE-00181,工
OHE-00182,公
OHE-00183,孔
OHE-00184,功
OHE-00185,共
OHE-00186,攻
OHE-00187,空
OHE-00188,供
OHE-00189,恭
OHE-00190,貢
OHE-00191,珙
OHE-00192,控
OHE-00193,戈
OHE-00194,瓜
OHE-00195,果
OHE-00196,科
OHE-00197,誇
OHE-00198,菓
OHE-00199,課
OHE-00200,過
OHE-00201,廓
OHE-00202,郭
OHE-00203,官
OHE-00204,冠
OHE-00205,貫
OHE-00206,款
OHE-00207,琯
OHE-00208,管
OHE-00209,寬
OHE-00210,慣
OHE-00211,館
OHE-00212,關
OHE-00213,灌
OHE-00214,瓘
OHE-00215,觀
OHE-00216,括
OHE-00217,匡
OHE-00218,光
OHE-00219,炚
OHE-00220,侊
OHE-00221,洸
OHE-00222,珖
OHE-00223,廣
OHE-00224,曠
OHE-00225,鑛
OHE-00226,掛
OHE-00227,塊
OHE-00228,宏
OHE-00229,巧
OHE-00230,交
OHE-00231,校
OHE-00232,敎
OHE-00233,喬
OHE-00234,郊
OHE-00235,較
OHE-00236,嬌
