profile_id,unicode
OHE-00001,U+52A0
OHE-00002,U+53EF
OHE-00003,U+4F73
OHE-00004,U+67B6
OHE-00005,U+5BB6
OHE-00006,U+8857
OHE-00007,U+8CC8
OHE-00008,U+6687
OHE-00009,U+5AC1
OHE-00010,U+6B4C
OHE-00011,U+5609
OHE-00012,U+50F9
OHE-00013,U+7A3C
OHE-00014,U+5404
OHE-00015,U+5374
OHE-00016,U+89D2
OHE-00017,U+523B
OHE-00018,U+606A
OHE-00019,U+73CF
OHE-00020,U+6BBC
OHE-00021,U+95A3
OHE-00022,U+89BA
OHE-00023,U+5E72
OHE-00024,U+520A
OHE-00025,U+826E
OHE-00026,U+6746
OHE-00027,U+4F83
OHE-00028,U+770B
OHE-00029,U+7AFF
OHE-00030,U+9593
OHE-00031,U+63C0
OHE-00032,U+5E79
OHE-00033,U+58BE
OHE-00034,U+8AEB
OHE-00035,U+61C7
OHE-00036,U+7C21
OHE-00037,U+6E34
OHE-00038,U+845B
OHE-00039,U+7518
OHE-00040,U+52D8
OHE-00041,U+6562
OHE-00042,U+582A
OHE-00043,U+611F
OHE-00044,U+6E1B
OHE-00045,U+76E3
OHE-00046,U+77B0
OHE-00047,U+9451
OHE-00048,U+7532
OHE-00049,U+9240
OHE-00050,U+6C5F
OHE-00051,U+5CA1
OHE-00052,U+59DC
OHE-00053,U+525B
OHE-00054,U+5F37
OHE-00055,U+5D17
OHE-00056,U+5808
OHE-00057,U+5EB7
OHE-00058,U+964D
OHE-00059,U+7DB1
OHE-00060,U+92FC
OHE-00061,U+5F4A
OHE-00062,U+8B1B
OHE-00063,U+4ECB
OHE-00064,U+4EF7
OHE-00065,U+6539
OHE-00066,U+500B
OHE-00067,U+51F1
OHE-00068,U+958B
OHE-00069,U+69EA
OHE-00070,U+6F11
OHE-00071,U+76D6
OHE-00072,U+5BA2
OHE-00073,U+F901
OHE-00074,U+53BB
OHE-00075,U+5DE8
OHE-00076,U+F902
OHE-00077,U+5C45
OHE-00078,U+62D2
OHE-00079,U+8DDD
OHE-00080,U+6E20
OHE-00081,U+64DA
OHE-00082,U+64E7
OHE-00083,U+5DFE
OHE-00084,U+4EF6
OHE-00085,U+5EFA
OHE-00086,U+8654
OHE-00087,U+5065
OHE-00088,U+4E7E
OHE-00089,U+6957
OHE-00090,U+9375
OHE-00091,U+6770
OHE-00092,U+5091
OHE-00093,U+5109
OHE-00094,U+528D
OHE-00095,U+6AA2
OHE-00096,U+63ED
OHE-00097,U+61A9
OHE-00098,U+683C
OHE-00099,U+6A84
OHE-00100,U+6FC0
OHE-00101,U+898B
OHE-00102,U+5805
OHE-00103,U+727D
OHE-00104,U+7D79
OHE-00105,U+9063
OHE-00106,U+6C7A
OHE-00107,U+7D50
OHE-00108,U+6F54
OHE-00109,U+517C
OHE-00110,U+8B19
OHE-00111,U+66F4
OHE-00112,U+5770
OHE-00113,U+7085
OHE-00114,U+4EAC
OHE-00115,U+5E9A
OHE-00116,U+4FD3
OHE-00117,U+52C1
OHE-00118,U+501E
OHE-00119,U+8015
OHE-00120,U+803F
OHE-00121,U+5F91
OHE-00122,U+6897
OHE-00123,U+7ADF
OHE-00124,U+6D87
OHE-00125,U+786C
OHE-00126,U+537F
OHE-00127,U+666F
OHE-00128,U+656C
OHE-00129,U+7D93
OHE-00130,U+8396
OHE-00131,U+8F15
OHE-00132,U+9015
OHE-00133,U+5883
OHE-00134,U+6176
OHE-00135,U+61AC
OHE-00136,U+66BB
OHE-00137,U+64CE
OHE-00138,U+66BB
OHE-00139,U+93E1
OHE-00140,U+9BE8
OHE-00141,U+7AF6
OHE-00142,U+8B66
OHE-00143,U+74CA
OHE-00144,U+6212
OHE-00145,U+7CFB
OHE-00146,U+5B63
OHE-00147,U+4FC2
OHE-00148,U+5951
OHE-00149,U+8A08
OHE-00150,U+7678
OHE-00151,U+754C
OHE-00152,U+6842
OHE-00153,U+5553
OHE-00154,U+8AA1
OHE-00155,U+6EAA
OHE-00156,U+968E
OHE-00157,U+7E7C
OHE-00158,U+9DC4
OHE-00159,U+53E9
OHE-00160,U+53E4
OHE-00161,U+544A
OHE-00162,U+56FA
OHE-00163,U+8003
OHE-00164,U+59D1
OHE-00165,U+67AF
OHE-00166,U+5EAB
