profile_id,hangul,hanja,unicode,sound_meaning,strokes,sound_ohaeng,resource_ohaeng
OHE-00001,가,加,U+52A0,더할,5,목,목
OHE-00002,가,可,U+53EF,옳을,5,목,수
OHE-00003,가,佳,U+4F73,아름다울,8,목,화
OHE-00004,가,架,U+67B6,시렁,9,목,목
OHE-00005,가,家,U+5BB6,집,10,목,목
OHE-00006,가,街,U+8857,거리,12,목,화
OHE-00007,가,賈,U+8CC8,갓,13,목,금
OHE-00008,가,暇,U+6687,겨를,13,목,화
OHE-00009,가,嫁,U+5AC1,시집갈,13,목,토
OHE-00010,가,歌,U+6B4C,노래,14,목,금
OHE-00011,가,嘉,U+5609,아름다울,14,목,수
OHE-00012,가,價,U+50F9,값,15,목,화
OHE-00013,가,稼,U+7A3C,심을,15,목,목
OHE-00014,각,各,U+5404,각각,6,목,수
OHE-00015,각,却,U+5374,물리칠,7,목,화
OHE-00016,각,角,U+89D2,뿔,7,목,목
OHE-00017,각,刻,U+523B,새길,8,목,금
OHE-00018,각,恪,U+606A,삼갈,10,목,화
OHE-00019,각,珏,U+73CF,쌍옥,10,목,금
OHE-00020,각,殼,U+6BBC,껍질,12,목,금
OHE-00021,각,閣,U+95A3,누각,14,목,목
OHE-00022,각,覺,U+89BA,깨달을,20,목,화
OHE-00023,간,干,U+5E72,방패,3,목,목
OHE-00024,간,刊,U+520A,"책펴낼,새길",5,목,금
OHE-00025,간,艮,U+826E,괘이름,6,목,토
OHE-00026,간,杆,U+6746,지레,7,목,목
OHE-00027,간,侃,U+4F83,강직할,8,목,화
OHE-00028,간,看,U+770B,볼,9,목,목
OHE-00029,간,竿,U+7AFF,장대산,9,목,목
OHE-00030,간,間,U+9593,사이,12,목,토
OHE-00031,간,揀,U+63C0,가릴,13,목,목
OHE-00032,간,幹,U+5E79,줄기,13,목,목
OHE-00033,간,墾,U+58BE,개간할,16,목,토
OHE-00034,간,諫,U+8AEB,충고할,16,목,금
OHE-00035,간,懇,U+61C7,정성,17,목,화
OHE-00036,간,簡,U+7C21,대쪽,18,목,목
OHE-00037,갈,渴,U+6E34,목마를,13,목,수
OHE-00038,갈,葛,U+845B,칡,15,목,목
OHE-00039,감,甘,U+7518,달,5,목,토
OHE-00040,감,勘,U+52D8,헤아릴,11,목,토
